name	university	homepage	total_all_2016_2022	total_conf_2016_2022	total_journal_2016_2022	ieeesp_2016_	acm_ccs_2016_	usenix_sec_2016_	ndss_2016_	tdsc_2016_	tifs_2016_	
Murat Kantarcioglu	University of Texas at Dallas	http://www.utdallas.edu/~muratk	                    5	                    3	                    2	                    0	                    2	                    0	                    1	                    1	                    1
Parthajit Mohapatra			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Nikolaos Pappas 0001	Linköping University	https://orcid.org/0000-0003-4416-7702	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Jemin Lee			                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    0	                    7
Tony Q. S. Quek	Singapore University of Technology and Design	https://people.sutd.edu.sg/~tonyquek/	                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    0	                    7
Vangelis Angelakis			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Martin Higgins			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Fei Teng 0005	Imperial College London	https://orcid.org/0000-0002-6828-0294	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Thomas Parisini			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Gabriel Bertocco			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Fernanda A. Andaló			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yuyang Zhou			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Guang Cheng 0001	Southeast University	https://orcid.org/0000-0001-8642-4362	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Si-Hyeon Lee		https://orcid.org/0000-0002-4362-5970	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Ligong Wang 0002	Cergy-Pontoise University	https://perso-etis.ensea.fr/ligong.wang/	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Ashish Khisti			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Gregory W. Wornell	Massachusetts Institute of Technology	http://allegro.mit.edu/~gww	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Guyue Li			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Chen Sun 0004	Southeast University	https://orcid.org/0000-0002-8352-9094	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Wei Xu 0001	Southeast University	https://orcid.org/0000-0001-9341-8382	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Marco Di Renzo			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Aiqun Hu			                    5	                    1	                    4	                    0	                    1	                    0	                    0	                    0	                    4
MyeongAh Cho			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Taeoh Kim			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Ig-Jae Kim			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Kyungjae Lee 0003	Yong In University	https://orcid.org/0000-0002-1529-3120	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Sangyoun Lee			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Rubén Heras Evangelio			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Michael Pätzold			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Ivo Keller			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Thomas Sikora	TU Berlin	https://www.nue.tu-berlin.de/menue/mitarbeiterinnen/prof_dr_ing_thomas_sikora	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Hartwig Fronthaler			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Klaus Kollreider			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Josef Bigün			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Julian Fiérrez	Autonomous University of Madrid (UAM)	http://www.ii.uam.es/esp/personal/ficha.php?empid=417	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Fernando Alonso-Fernandez	Halmstad University	https://www.hh.se/information/sok-personal.html?url=-1708965309%2Fl9%2Fhhstaff%2Fen%2Fdetail.lasso%3Fdo%3Dstart%26groupmember%3Dcc763bd0-44d4-4c58-83c4-3e8e2d09ef3b	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Javier Ortega-Garcia		https://orcid.org/0000-0003-0557-1948	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Joaquín González-Rodríguez			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
David Froelicher			                    2	                    1	                    1	                    0	                    0	                    0	                    1	                    0	                    1
Juan Ramón Troncoso-Pastoriza			                    6	                    4	                    2	                    1	                    0	                    2	                    1	                    0	                    2
João Sá Sousa	EPFL	https://ieeexplore.ieee.org/author/37086933526	                    3	                    1	                    2	                    0	                    0	                    0	                    1	                    0	                    2
Chenyang Tu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Zeyi Liu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Neng Gao			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Cunqing Ma			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Jingquan Ge			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Lingchen Zhang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Qi Yan			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Rui Yang 0006	Sun Yat-sen University		                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Jiwu Huang	Shenzhen University	https://orcid.org/0000-0002-7625-5689	                    29	                    0	                    29	                    0	                    0	                    0	                    0	                    2	                    27
Wen Huang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Shijie Zhou			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yongjian Liao	UESTC	https://www.is.uestc.edu.cn/teachers.do?id=9730	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Anil K. Jain 0001	Michigan State University	https://www.cse.msu.edu/~jain	                    12	                    0	                    12	                    0	                    0	                    0	                    0	                    0	                    12
Arun Ross	Michigan State University	http://www.cse.msu.edu/~rossarun	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Sharath Pankanti		https://scholar.google.com/citations?user=3BeKoWEAAAAJ	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Pierre-François Marteau			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
